author_name;book_id;role_name
Лазарева Ю.;1083198;ред
Вербинина В.;819503;автор
Уинспир Ж.;968966;автор
Исида С.;1221429;автор
Смирнова В.;269331;сост
Лелорд Ф.;778587;автор
Брежестовский А.;902795;автор
Хейг М.;1237555;автор
Сенчин Р.;1166144;автор
Дэвидсон С.;1181685;автор
Узорова О.;963563;автор
Брикер М.;265445;автор
Велес А.;1068821;автор
Браун Д.;1166804;автор
СоколовМикитов И.;348176;автор
Битти Р.;1210797;автор
Талалаева Е.;975059;ред
Островская Е.;1182597;автор
Постников В.;974689;автор
Волченко Ю.;761904;автор
Самаров С.;1035798;автор
Жукова О.;347498;автор
Головко А.;767942;автор
Аникеева Л.;518060;автор
Матанцев А.;992484;автор
Арсеньев А.;842544;автор
Волченко Ю.;886546;ред
Чибисов В.;1081910;автор
Бородицкая М.;969262;автор
Полевой Б.;1049933;автор
Шахова А.;821008;ред
Зурков Д.;1225462;автор
Демидов О.;1170991;автор
Грун Х.;1091184;автор
Тумановская М.;1090650;автор
Газина Э.;910990;отв-ред
Жаколио Л.;257249;автор
Остер Г.;1065603;автор
Гете И.;845228;автор
Мосс Д.;1243170;автор
Головачев В.;1175107;автор
Ле Шан Э.;1206783;автор
Леонов Н.;1057976;автор
По Э.;1013575;автор
Найт Р.;1050784;автор
Харт Дж.;1237736;автор
Келлерман Дж.;1220892;автор
СентЭкзюпери А.;1166522;автор
Шалаева Г.;908983;автор
Сканави М.;852241;автор
Симонов К.;487891;автор
Музланова Е.;995621;автор
Лаптон Р.;920309;автор
Михайлова Е.;379489;автор
Толстой Л.;839568;автор
Озерова О.;766600;пер
Козинаки М.;925519;автор
Маршак С.;1054296;автор
Ханнанов Н.;1252003;автор
Погосян Е.;747418;ред
Сутеев В.;1081870;автор
Костриченко В.;957551;автор
Майклз Н.;1209718;автор
Дмитриева В.;1065609;сост
Солнцева Н.;447380;автор
Волков А.;970527;автор
Чудова А.;759611;ред
Генрих В.;1220145;автор
Вильмонт Е.;1212545;автор
Полякова Т.;1076420;автор
Анашина Н.;893715;ред
Дорошкевич О.;784983;автор
Алешин П.;343238;автор
ОРайли К.;825638;автор
Иллеш Е.;337323;автор
Колычев В.;1175509;автор
Усачев А.;1235801;автор
Литвинов С.;1090836;автор
Макунин Д.;1088946;автор
Ульянова М.;987090;ред
ДеВос М.;1253053;автор
Звездная Е.;692631;автор
Гридина Т.;459209;автор
Бонк Н.;770554;автор
Сутеев В.;1017453;автор
Ермакович Д.;999072;автор
Степанов В.;1166777;автор
Шахова А.;873776;ред
Дорофеева Г.;329852;автор
Баранова Н.;835140;автор
Магнелло А.;1058410;автор
Бунин И.;771884;автор
Матюшкина К.;1208184;автор
Волкова П.;1256773;автор
Герман Э.;1067741;автор
Шейхулина Э.;257099;пер
Михайлова Т.;887861;автор
Козинаки М.;925515;автор
Ионцева А.;1067796;автор
Прутков К.;399223;автор
Быкова М.;1075881;автор
ЛебедевКумач В.;924072;автор
Пушкин А.;850880;автор
Маршак С.;1018542;автор
Ганатилейк Г.;1193636;автор
Иванович Ю.;482233;автор
Даваба А.;977841;автор
Новикова Е.;1176546;ред
Перро Ш.;1010866;автор
Дале Ш.;1163980;автор
Носов Н.;715422;автор
Гарсиа Маркес Г.;850714;автор
Муравьев К.;1165636;автор
Майдонова С.;1004032;автор
Сократ.;1164844;автор
Родионов А.;866092;автор
Уайт А.;1166775;автор
Дюма А.;1091089;автор
Баринова А.;1020328;ред
Боровская Э.;730520;автор
Панов В.;383839;автор
Минин А.;1213525;автор
Сэйки М.;441589;автор
Осеева В.;1209275;автор
Митчелл М.;1223684;автор
Гришэм Дж.;749928;автор
Алферова М.;850695;автор
Кокарева З.;825985;автор
Устинова А.;298782;автор
Дмитриева В.;1243615;сост
Роуэн Н.;903355;автор
Волченко Ю.;775630;ред
Ауэр М.;970822;автор
Осман С.;1191655;автор
Узорова О.;1043994;автор
Нат Хан Т.;957017;автор
Шаблина П.;962039;ред
Евдокименко П.;859582;автор
Казанцев К.;375011;автор
Иванович Ю.;468586;автор
Янчарский Ч.;404672;автор
Тарле Е.;822837;автор
Каст Б.;1221437;автор
Спиноза Б.;1172352;автор
Пит С.;1219675;автор
Жилинская А.;988194;ред
Букай Х.;873760;автор
Дьячкова О.;1255500;автор
Доусон Н.;1191258;автор
Браун Г.;343165;автор
Маршак С.;1042250;автор
Уайт К.;1248359;автор
Дрю Д.;389490;автор
Анненский И.;1206789;автор
Мартемьянов М.;815470;автор
Твен М.;1215770;автор
Гущин С.;1178326;автор
Литвак М.;1081522;автор
Стил Д.;841509;автор
Уэллс Г.;1212171;автор
Барто А.;1059481;автор
Лихачев Д.;938358;автор
Лукьянова И.;1210796;автор
Вербинина В.;1077086;автор
Снежная Д.;1204574;автор
Узорова О.;745986;автор
Тамоников А.;1004555;автор
Науменко Г.;253410;автор
Дефо Д.;746482;автор
Кизима Г.;1026009;автор
Вайсман Г.;1048797;автор
Форт П.;1169029;автор
Талер М.;1026052;автор
Державина В.;1035604;автор
Грей М.;1229490;автор
Холл Д.;724896;автор
Кювелье Ж.;784633;автор
Федоров А.;1177279;автор
Льюис К.;964922;автор
Джеймсон Р.;883554;автор
Софокл.;1095391;автор
Берг Й.;493993;автор
Жилинская А.;840557;ред
Лубченков Ю.;400574;автор
Мишаненкова Е.;762536;автор
Ушинский К.;1210841;автор
Злотников Р.;253644;автор
Нефедова Е.;875924;автор
Вуль М.;1221731;автор
Сонг Д.;901986;автор
Биболетова М.;854251;автор
Котовская И.;1021211;автор
Смагин Е.;745689;автор
Губина В.;859564;автор
Александрова Н.;1164250;автор
Корецкий Д.;1188691;автор
Паланик Ч.;759279;автор
Луганцева Т.;766129;автор
Зайцева А.;342659;автор
Гришэм Дж.;989122;автор
Рубанов А.;1054292;автор
Коэльо П.;865922;автор
Казанцев К.;491062;автор
Уокер К.;1201433;автор
Дмитриева В.;1075865;сост
Вертягина А.;689481;ред
Усольцева О.;738195;ред
Фрейм С.;1061257;автор
Соломатина Е.;1238210;ред
Гиббон Э.;1225608;автор
Косухина Н.;794801;автор
Дмитриева В.;1043262;сост
Молоховец Е.;1175728;автор
Гейман Н.;1014847;автор
Шляхов А.;822009;автор
Михалков С.;1091598;автор
Трубанева Н.;850061;автор
Парфенова И.;814788;автор
Смилевска Л.;1251328;пер
Джеймс Ф.;938815;автор
